code,category,name,unit,unit_price,notes
LND-A.1.1,أعمال اللاندسكيب والموقع العام,جرانيت أصفر ريفي 200×600×40مم، مطرقي، على بلاطة - رصف مواقف TL9,m²,210.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 200x600x40mm yellow rustic granite, bush hammered, on RC slab - Parking pavement | مصدر: عرض مشروع قلب نجد 2026"
LND-A.2.1,أعمال اللاندسكيب والموقع العام,جرانيت أصفر ريفي 600×600×40مم، مطرقي - رصف ممر مركبات TL6,m²,230.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600x600x40mm yellow rustic granite, bush hammered, on RC slab - Driveway pavemen | مصدر: عرض مشروع قلب نجد 2026"
LND-A.3.1,أعمال اللاندسكيب والموقع العام,حافة ستانلس 40×6مم - رصف مثلثي MT1,mrun,85.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 40x6mm stainless steel edging - Triangular pavement MT1 | مصدر: عرض مشروع قلب نجد 2026
LND-A.4.1,أعمال اللاندسكيب والموقع العام,جرانيت أصفر ريفي 225×600×40مم، مصقول - نمط مثلثي TL8,m²,270.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 225x600x40mm yellow rustic granite, polished - Triangular pattern TL8 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.5.1,أعمال اللاندسكيب والموقع العام,كسوة حجر رياض 20مم لجدار محيطي، تثبيت جاف ستانلس - TL13,m²,230.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 20mm Riyadh limestone cladding to perimeter wall, dry fixed SS system - TL13 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.6.1,أعمال اللاندسكيب والموقع العام,حجر رياض 600×600×20مم تشطيب عتيق - أبرون المبنى TL1,m²,210.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600x600x20mm Riyadh limestone antique finish - Building apron TL1 | مصدر: عرض مشروع قلب نجد 2026
LND-A.7.1,أعمال اللاندسكيب والموقع العام,شلال مائي كبير قاعدة وجدران خرسانية 35200×5500×450مم شامل العزل,LS,132000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Grand water cascade RC base/walls 35200x5500x450mm incl waterproofing | مصدر: عرض مشروع قلب نجد 2026
LND-A.7.2,أعمال اللاندسكيب والموقع العام,جرانيت أسود مصقول 600×600×20مم - أرضية/جدار داخلي الشلال TL5,m²,370.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600x600x20mm black granite polished - Cascade floor/internal wall TL5 | مصدر: عرض مشروع قلب نجد 2026
LND-A.7.3,أعمال اللاندسكيب والموقع العام,موزاييك أسود مطفي 33×80مم - جدار خارجي الشلال TL14,m²,300.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 33x80mm black scale light mosaic matte - Cascade external wall TL14 | مصدر: عرض مشروع قلب نجد 2026
LND-A.8.1,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'قلب نجد' 6925×800×100مم، إطار ستانلس + أكريليك,LS,61200.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'قلب نجد' 6925x800x100mm, 29LT Azer Medium, SS frame + acryl | مصدر: عرض مشروع قلب نجد 2026"
LND-A.8.2,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'NJD'S HEART' 6955×825×100مم، إطار ستانلس + أكريليك,LS,69850.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'NJD'S HEART' 6955x825x100mm, Fedra Sans Pro Book, SS frame  | مصدر: عرض مشروع قلب نجد 2026"
